Date,WTI futures
08/30/2013,107.98
09/03/2013,108.67
09/04/2013,107.29
09/05/2013,108.5
09/06/2013,110.62
09/09/2013,109.62
09/10/2013,107.48
09/11/2013,107.65
09/12/2013,108.72
09/13/2013,108.31
09/16/2013,106.54
09/17/2013,105.36
09/18/2013,108.23
09/19/2013,106.26
09/20/2013,104.7
09/23/2013,103.62
09/24/2013,103.22
09/25/2013,102.68
09/26/2013,103.1
09/27/2013,102.86
09/30/2013,102.36
10/01/2013,102.09
10/02/2013,104.15
10/03/2013,103.29
10/04/2013,103.83
10/07/2013,103.07
10/08/2013,103.54
10/09/2013,101.63
10/10/2013,103.08
10/11/2013,102.17
10/14/2013,102.46
10/15/2013,101.15
10/16/2013,102.34
10/17/2013,100.72
10/18/2013,100.87
10/21/2013,99.28
10/22/2013,97.63
10/23/2013,96.9
10/24/2013,96.65
10/25/2013,97.4
10/28/2013,98.74
10/29/2013,98.29
10/30/2013,96.81
10/31/2013,96.29
11/01/2013,94.56
11/04/2013,94.58
11/05/2013,93.4
11/06/2013,94.74
11/07/2013,94.25
11/08/2013,94.56
11/11/2013,95.13
11/12/2013,93.12
11/13/2013,93.91
11/14/2013,93.76
11/15/2013,93.8
11/18/2013,93.03
11/19/2013,93.35
11/20/2013,93.34
11/21/2013,95.35
11/22/2013,94.53
11/25/2013,93.86
11/26/2013,93.41
11/27/2013,92.05
11/29/2013,92.55
12/02/2013,93.61
12/03/2013,95.83
12/04/2013,96.97
12/05/2013,97.14
12/06/2013,97.48
12/09/2013,97.1
12/10/2013,98.32
12/11/2013,97.25
12/12/2013,97.21
12/13/2013,96.27
12/16/2013,97.18
12/17/2013,96.99
12/18/2013,97.59
12/19/2013,98.4
12/20/2013,99.11
12/23/2013,98.62
12/24/2013,98.87
12/26/2013,99.18
12/27/2013,99.94
12/30/2013,98.9
12/31/2013,98.17
01/02/2014,95.14
01/03/2014,93.66
01/06/2014,93.12
01/07/2014,93.31
01/08/2014,91.9
01/09/2014,91.36
01/10/2014,92.39
01/13/2014,91.45
01/14/2014,92.15
01/15/2014,93.78
01/16/2014,93.54
01/17/2014,93.96
01/21/2014,94.51
01/22/2014,96.35
01/23/2014,97.23
01/24/2014,96.66
01/27/2014,95.82
01/28/2014,97.49
01/29/2014,97.34
01/30/2014,98.25
01/31/2014,97.55
02/03/2014,96.44
02/04/2014,97.24
02/05/2014,97.4
02/06/2014,97.84
02/07/2014,99.98
02/10/2014,100.12
02/11/2014,99.96
02/12/2014,100.38
02/13/2014,100.27
02/14/2014,100.31
02/18/2014,102.54
02/19/2014,103.46
02/20/2014,103.2
02/21/2014,102.53
02/24/2014,103.17
02/25/2014,102.2
02/26/2014,102.93
02/27/2014,102.68
02/28/2014,102.88
03/03/2014,105.34
03/04/2014,103.64
03/05/2014,101.75
03/06/2014,101.82
03/07/2014,102.82
03/10/2014,101.39
03/11/2014,100.29
03/12/2014,98.29
03/13/2014,98.57
03/14/2014,99.23
03/17/2014,98.43
03/18/2014,100.08
03/19/2014,100.71
03/20/2014,99.68
03/21/2014,99.97
03/24/2014,99.57
03/25/2014,99.18
03/26/2014,100.24
03/27/2014,101.24
03/28/2014,101.67
03/31/2014,101.57
04/01/2014,99.69
04/02/2014,99.63
04/03/2014,100.29
04/04/2014,101.14
04/07/2014,100.44
04/08/2014,102.58
04/09/2014,103.58
04/10/2014,103.38
04/11/2014,103.67
04/14/2014,104.05
04/15/2014,103.68
04/16/2014,103.73
04/17/2014,104.31
04/21/2014,104.35
04/22/2014,101.67
04/23/2014,101.47
04/24/2014,101.95
04/25/2014,100.58
04/28/2014,100.85
04/29/2014,101.27
04/30/2014,99.78
05/01/2014,99.41
05/02/2014,99.81
05/05/2014,99.46
05/06/2014,99.52
05/07/2014,100.77
05/08/2014,100.24
05/09/2014,100.02
05/12/2014,100.6
05/13/2014,101.73
05/14/2014,102.34
05/15/2014,101.46
05/16/2014,102.01
05/19/2014,102.65
05/20/2014,102.8
05/21/2014,104.31
05/22/2014,104.03
05/23/2014,105.01
05/27/2014,104.78
05/28/2014,103.37
05/29/2014,103.6
05/30/2014,102.75
06/02/2014,102.43
06/03/2014,102.68
06/04/2014,102.62
06/05/2014,102.51
06/06/2014,102.67
06/09/2014,104.44
06/10/2014,104.38
06/11/2014,104.39
06/12/2014,106.54
06/13/2014,106.85
06/16/2014,106.88
06/17/2014,106.28
06/18/2014,105.99
06/19/2014,106.43
06/20/2014,106.82
06/23/2014,106.18
06/24/2014,106.01
06/25/2014,106.5
06/26/2014,105.8
06/27/2014,105.76
06/30/2014,105.37
07/01/2014,105.36
07/02/2014,104.48
07/03/2014,104.06
07/07/2014,103.49
07/08/2014,103.36
07/09/2014,102.24
07/10/2014,102.92
07/11/2014,100.79
07/14/2014,100.99
07/15/2014,99.86
07/16/2014,101.18
07/17/2014,103.15
07/18/2014,103.14
07/21/2014,104.64
07/22/2014,102.26
07/23/2014,103.12
07/24/2014,102.06
07/25/2014,102.1
07/28/2014,101.68
07/29/2014,100.91
07/30/2014,100.27
07/31/2014,98.22
08/01/2014,97.85
08/04/2014,98.27
08/05/2014,97.33
08/06/2014,96.95
08/07/2014,97.34
08/08/2014,97.61
08/11/2014,98.08
08/12/2014,97.35
08/13/2014,97.56
08/14/2014,95.54
08/15/2014,97.31
08/18/2014,96.44
08/19/2014,94.35
08/20/2014,93.4
08/21/2014,93.96
08/22/2014,93.61
08/25/2014,93.35
08/26/2014,93.85
08/27/2014,93.89
08/28/2014,94.51
08/29/2014,95.93
09/02/2014,92.91
09/03/2014,95.5
09/04/2014,94.51
09/05/2014,93.32
09/08/2014,92.64
09/09/2014,92.73
09/10/2014,91.71
09/11/2014,92.89
09/12/2014,92.18
09/15/2014,92.89
09/16/2014,94.91
09/17/2014,94.33
09/18/2014,93.07
09/19/2014,92.42
09/22/2014,90.83
09/23/2014,91.55
09/24/2014,92.86
09/25/2014,92.49
09/26/2014,93.55
09/29/2014,94.53
09/30/2014,91.16
10/01/2014,90.75
10/02/2014,91.01
10/03/2014,89.76
10/06/2014,90.34
10/07/2014,88.86
10/08/2014,87.3
10/09/2014,85.76
10/10/2014,85.87
10/13/2014,85.73
10/14/2014,81.83
10/15/2014,81.82
10/16/2014,82.56
10/17/2014,82.79
10/20/2014,82.75
10/21/2014,82.48
10/22/2014,80.52
10/23/2014,82.05
10/24/2014,81.03
10/27/2014,80.93
10/28/2014,81.34
10/29/2014,82.24
10/30/2014,81.06
10/31/2014,80.52
11/03/2014,78.77
11/04/2014,77.14
11/05/2014,78.71
11/06/2014,77.87
11/07/2014,78.71
11/10/2014,77.43
11/11/2014,77.87
11/12/2014,77.16
11/13/2014,74.15
11/14/2014,75.9
11/17/2014,75.64
11/18/2014,74.56
11/19/2014,74.55
11/20/2014,75.82
11/21/2014,76.53
11/24/2014,75.75
11/25/2014,74.09
11/26/2014,73.75
11/28/2014,66.03
12/01/2014,69.02
12/02/2014,66.97
12/03/2014,67.3
12/04/2014,66.75
12/05/2014,65.88
12/08/2014,63.1
12/09/2014,63.75
12/10/2014,60.97
12/11/2014,60.02
12/12/2014,57.8
12/15/2014,55.96
12/16/2014,55.87
12/17/2014,56.44
12/18/2014,54.19
12/19/2014,57.1
12/22/2014,55.38
12/23/2014,57.09
12/24/2014,55.85
12/26/2014,54.74
12/29/2014,53.68
12/30/2014,54.1
12/31/2014,53.49
01/02/2015,52.57
01/05/2015,50.03
01/06/2015,48.02
01/07/2015,48.7
01/08/2015,48.81
01/09/2015,48.4
01/12/2015,46.07
01/13/2015,45.92
01/14/2015,48.55
01/15/2015,46.36
01/16/2015,48.5
01/20/2015,46.51
01/21/2015,47.78
01/22/2015,46.38
01/23/2015,45.56
01/26/2015,45.17
01/27/2015,45.84
01/28/2015,44.08
01/29/2015,44.12
01/30/2015,47.79
02/02/2015,49.25
02/03/2015,53.04
02/04/2015,48.45
02/05/2015,50.48
02/06/2015,51.66
02/09/2015,52.99
02/10/2015,50.06
02/11/2015,48.8
02/12/2015,51.17
02/13/2015,52.66
02/17/2015,53.56
02/18/2015,52.13
02/19/2015,51.12
02/20/2015,49.95
02/23/2015,49.56
02/24/2015,48.48
02/25/2015,50.25
02/26/2015,47.65
02/27/2015,49.84
03/02/2015,49.59
03/03/2015,50.43
03/04/2015,51.53
03/05/2015,50.76
03/06/2015,49.61
03/09/2015,49.95
03/10/2015,48.42
03/11/2015,48.06
03/12/2015,47.12
03/13/2015,44.88
03/16/2015,43.93
03/17/2015,43.39
03/18/2015,44.63
03/19/2015,44.02
03/20/2015,46
03/23/2015,47.4
03/24/2015,47.03
03/25/2015,48.75
03/26/2015,51.41
03/27/2015,48.87
03/30/2015,48.65
03/31/2015,47.72
04/01/2015,50.12
04/02/2015,49.13
04/06/2015,52.08
04/07/2015,53.95
04/08/2015,50.44
04/09/2015,50.81
04/10/2015,51.64
04/13/2015,51.95
04/14/2015,53.3
04/15/2015,56.25
04/16/2015,56.69
04/17/2015,55.71
04/20/2015,56.37
04/21/2015,55.58
04/22/2015,56.17
04/23/2015,56.59
04/24/2015,55.98
04/27/2015,55.56
04/28/2015,57.05
04/29/2015,58.55
04/30/2015,59.62
05/01/2015,59.1
05/04/2015,58.92
05/05/2015,60.38
05/06/2015,60.93
05/07/2015,58.99
05/08/2015,59.41
05/11/2015,59.23
05/12/2015,60.72
05/13/2015,60.5
05/14/2015,59.89
05/15/2015,59.73
05/18/2015,59.44
05/19/2015,57.99
05/20/2015,58.97
05/21/2015,60.7
05/22/2015,59.66
05/26/2015,57.29
05/27/2015,57.51
05/28/2015,57.69
05/29/2015,60.25
06/01/2015,60.24
06/02/2015,61.3
06/03/2015,59.69
06/04/2015,58
06/05/2015,59.11
06/08/2015,58.15
06/09/2015,60.12
06/10/2015,61.37
06/11/2015,60.74
06/12/2015,59.93
06/15/2015,59.55
06/16/2015,60
06/17/2015,59.77
06/18/2015,60.41
06/19/2015,59.62
06/22/2015,60.01
06/23/2015,61.05
06/24/2015,60.01
06/25/2015,59.59
06/26/2015,59.41
06/29/2015,58.34
06/30/2015,59.48
07/01/2015,56.94
07/02/2015,56.93
07/06/2015,52.48
07/07/2015,52.33
07/08/2015,51.61
07/09/2015,52.76
07/10/2015,52.74
07/13/2015,52.19
07/14/2015,53.05
07/15/2015,51.4
07/16/2015,50.9
07/17/2015,50.88
07/20/2015,50.11
07/21/2015,50.59
07/22/2015,49.27
07/23/2015,48.11
07/24/2015,47.98
07/27/2015,47.17
07/28/2015,47.96
07/29/2015,48.77
07/30/2015,48.52
07/31/2015,47.11
08/03/2015,45.25
08/04/2015,45.76
08/05/2015,45.13
08/06/2015,44.66
08/07/2015,43.87
08/10/2015,44.94
08/11/2015,43.11
08/12/2015,43.22
08/13/2015,42.27
08/14/2015,42.45
08/17/2015,41.93
08/18/2015,42.58
08/19/2015,40.75
08/20/2015,41
08/21/2015,40.45
08/24/2015,38.22
08/25/2015,39.15
08/26/2015,38.5
08/27/2015,42.47
08/28/2015,45.29
08/31/2015,49.2
09/01/2015,45.38
09/02/2015,46.3
09/03/2015,46.75
09/04/2015,46.02
09/08/2015,45.92
09/09/2015,44.13
09/10/2015,45.85
09/11/2015,44.75
09/14/2015,44.07
09/15/2015,44.58
09/16/2015,47.12
09/17/2015,46.93
09/18/2015,44.71
09/21/2015,46.67
09/22/2015,46.17
09/23/2015,44.53
09/24/2015,44.94
09/25/2015,45.55
09/28/2015,44.4
09/29/2015,45.24
09/30/2015,45.06
10/01/2015,44.75
10/02/2015,45.54
10/05/2015,46.28
10/06/2015,48.53
10/07/2015,47.86
10/08/2015,49.46
10/09/2015,49.67
10/12/2015,47.09
10/13/2015,46.7
10/14/2015,46.63
10/15/2015,46.38
10/16/2015,47.3
10/19/2015,45.91
10/20/2015,45.84
10/21/2015,45.22
10/22/2015,44.9
10/23/2015,43.91
10/26/2015,43.19
10/27/2015,43.21
10/28/2015,45.93
10/29/2015,46.02
10/30/2015,46.6
11/02/2015,46.12
11/03/2015,47.88
11/04/2015,46.32
11/05/2015,45.27
11/06/2015,44.32
11/09/2015,43.87
11/10/2015,44.23
11/11/2015,42.95
11/12/2015,41.74
11/13/2015,40.69
11/16/2015,41.68
11/17/2015,40.73
11/18/2015,40.75
11/19/2015,40.55
11/20/2015,39.39
11/23/2015,39.27
11/24/2015,42.91
11/25/2015,43
11/27/2015,41.77
11/30/2015,41.64
12/01/2015,40.58
12/02/2015,39.93
12/03/2015,41.08
12/04/2015,40
12/07/2015,37.64
12/08/2015,37.46
12/09/2015,37.16
12/10/2015,36.76
12/11/2015,35.65
12/14/2015,36.31
12/15/2015,37.32
12/16/2015,35.55
12/17/2015,34.98
12/18/2015,34.72
12/21/2015,34.55
12/22/2015,36.12
12/23/2015,36.76
12/24/2015,37.62
12/28/2015,36.36
12/29/2015,37.88
12/30/2015,36.59
12/31/2015,37.13
01/04/2016,36.81
01/05/2016,35.97
01/06/2016,33.97
01/07/2016,33.29
01/08/2016,33.2
01/11/2016,31.42
01/12/2016,30.42
01/13/2016,30.42
01/14/2016,31.22
01/15/2016,29.45
01/19/2016,28.47
01/20/2016,26.68
01/21/2016,29.55
01/22/2016,32.07
01/25/2016,30.31
01/26/2016,29.54
01/27/2016,32.32
01/28/2016,33.21
01/29/2016,33.66
02/01/2016,31.62
02/02/2016,29.9
02/03/2016,32.29
02/04/2016,31.63
02/05/2016,30.86
02/08/2016,29.71
02/09/2016,27.96
02/10/2016,27.54
02/11/2016,26.19
02/12/2016,29.32
02/16/2016,29.05
02/17/2016,30.68
02/18/2016,30.68
02/19/2016,29.61
02/22/2016,33.43
02/23/2016,31.8
02/24/2016,30.35
02/25/2016,31.4
02/26/2016,31.65
02/29/2016,32.74
03/01/2016,34.39
03/02/2016,34.57
03/03/2016,34.57
03/04/2016,35.92
03/07/2016,37.9
03/08/2016,36.67
03/09/2016,37.62
03/10/2016,37.77
03/11/2016,38.51
03/14/2016,37.2
03/15/2016,36.32
03/16/2016,38.43
03/17/2016,40.17
03/18/2016,39.47
03/21/2016,39.91
03/22/2016,41.45
03/23/2016,38.28
03/24/2016,38.14
03/28/2016,37.99
03/29/2016,38.32
03/30/2016,38.36
03/31/2016,38.29
04/01/2016,35.36
04/04/2016,34.3
04/05/2016,35.94
04/06/2016,37.74
04/07/2016,37.3
04/08/2016,39.75
04/11/2016,40.46
04/12/2016,42.12
04/13/2016,41.7
04/14/2016,41.45
04/15/2016,40.4
04/18/2016,39.77
04/19/2016,40.91
04/20/2016,44.15
04/21/2016,43.18
04/22/2016,43.77
04/25/2016,41.67
04/26/2016,43.94
04/27/2016,45.21
04/28/2016,46.04
04/29/2016,45.98
05/02/2016,44.75
05/03/2016,43.64
05/04/2016,43.78
05/05/2016,44.34
05/06/2016,44.59
05/09/2016,43.45
05/10/2016,44.7
05/11/2016,46.2
05/12/2016,46.65
05/13/2016,46.22
05/16/2016,47.72
05/17/2016,48.3
05/18/2016,48.15
05/19/2016,48.16
05/20/2016,47.67
05/23/2016,48.12
05/24/2016,48.65
05/25/2016,49.56
05/26/2016,49.44
05/27/2016,49.36
05/31/2016,49.1
06/01/2016,49.07
06/02/2016,49.14
06/03/2016,48.69
06/06/2016,49.71
06/07/2016,50.37
06/08/2016,51.23
06/09/2016,50.52
06/10/2016,49.09
06/13/2016,48.89
06/14/2016,48.49
06/15/2016,47.92
06/16/2016,46.14
06/17/2016,48
06/20/2016,49.4
06/21/2016,48.95
06/22/2016,49.16
06/23/2016,49.34
06/24/2016,46.7
06/27/2016,45.8
06/28/2016,47.93
06/29/2016,49.85
06/30/2016,48.27
07/01/2016,49.02
07/05/2016,46.73
07/06/2016,47.37
07/07/2016,45.22
07/08/2016,45.37
07/11/2016,44.73
07/12/2016,46.82
07/13/2016,44.87
07/14/2016,45.64
07/15/2016,45.93
07/18/2016,45.23
07/19/2016,44.64
07/20/2016,44.96
07/21/2016,43.96
07/22/2016,43.41
07/25/2016,42.4
07/26/2016,42.16
07/27/2016,41.9
07/28/2016,41.13
07/29/2016,41.54
08/01/2016,40.05
08/02/2016,39.5
08/03/2016,40.8
08/04/2016,41.92
08/05/2016,41.83
08/08/2016,43.06
08/09/2016,42.78
08/10/2016,41.75
08/11/2016,43.51
08/12/2016,44.47
08/15/2016,45.72
08/16/2016,46.57
08/17/2016,46.81
08/18/2016,48.2
08/19/2016,48.49
08/22/2016,47.42
08/23/2016,47.54
08/24/2016,46.29
08/25/2016,47.33
08/26/2016,47.64
08/29/2016,46.97
08/30/2016,46.32
08/31/2016,44.68
09/01/2016,43.17
09/02/2016,44.39
09/06/2016,44.85
09/07/2016,45.47
09/08/2016,47.63
09/09/2016,45.88
09/12/2016,46.28
09/13/2016,44.91
09/14/2016,43.62
09/15/2016,43.85
09/16/2016,43.04
09/19/2016,43.34
09/20/2016,43.85
09/21/2016,45.33
09/22/2016,46.1
09/23/2016,44.36
09/26/2016,45.6
09/27/2016,44.65
09/28/2016,47.07
09/29/2016,47.72
09/30/2016,47.72
10/03/2016,48.8
10/04/2016,48.67
10/05/2016,49.75
10/06/2016,50.44
10/07/2016,49.76
10/10/2016,49.76
10/11/2016,50.72
10/12/2016,50.14
10/13/2016,50.47
10/14/2016,50.35
10/17/2016,49.97
10/18/2016,50.3
10/19/2016,51.59
10/20/2016,50.31
10/21/2016,50.61
10/24/2016,50.18
10/25/2016,49.45
10/26/2016,48.75
10/27/2016,49.71
10/28/2016,48.72
10/31/2016,46.83
11/01/2016,46.66
11/02/2016,45.32
11/03/2016,44.66
11/04/2016,44.07
11/07/2016,44.88
11/08/2016,44.96
11/09/2016,45.2
11/10/2016,44.62
11/11/2016,43.39
11/14/2016,43.29
11/15/2016,45.86
11/16/2016,45.56
11/17/2016,45.37
11/18/2016,45.69
11/21/2016,47.48
11/22/2016,48.07
11/23/2016,46.72
11/25/2016,46.72
11/28/2016,45.66
11/29/2016,45.29
11/30/2016,49.41
12/01/2016,51.08
12/02/2016,51.7
12/05/2016,51.72
12/06/2016,50.95
12/07/2016,49.85
12/08/2016,50.84
12/09/2016,51.51
12/12/2016,52.74
12/13/2016,52.99
12/14/2016,51.01
12/15/2016,50.9
12/16/2016,51.93
12/19/2016,52.13
12/20/2016,52.22
12/21/2016,51.44
12/22/2016,51.98
12/23/2016,52.01
12/27/2016,52.82
12/28/2016,54.01
12/29/2016,53.8
12/30/2016,53.75
01/03/2017,52.36
01/04/2017,53.26
01/05/2017,53.77
01/06/2017,53.98
01/09/2017,51.95
01/10/2017,50.82
01/11/2017,52.19
01/12/2017,53.01
01/13/2017,52.36
01/17/2017,52.45
01/18/2017,51.12
01/19/2017,51.39
01/20/2017,52.33
01/23/2017,52.77
01/24/2017,52.38
01/25/2017,52.14
01/26/2017,53.24
01/27/2017,53.18
01/30/2017,52.63
01/31/2017,52.75
02/01/2017,53.9
02/02/2017,53.55
02/03/2017,53.81
02/06/2017,53.01
02/07/2017,52.19
02/08/2017,52.37
02/09/2017,52.99
02/10/2017,53.84
02/13/2017,52.96
02/14/2017,53.21
02/15/2017,53.11
02/16/2017,53.41
02/17/2017,53.41
02/21/2017,54.02
02/22/2017,53.61
02/23/2017,54.48
02/24/2017,53.99
02/27/2017,54.04
02/28/2017,54
